player,source,stage,group_name,home_team,away_team,kickoff_utc,predicted_score,pick,actual_score,result,pick_correct,exact_score,points,running_points,total_match_points,champion_bonus,overall_points,matches_scored,correct_picks,exact_scores
Market,crowd,group,A,Mexico,South Africa,2026-06-11T19:00:00+00:00,1-0,home,2-0,home,1,0,1,1,61,10,71,81,45,8
Model,pele,group,A,Mexico,South Africa,2026-06-11T19:00:00+00:00,1-0,home,2-0,home,1,0,1,1,65,8,73,81,43,11
Me,harry,group,A,Mexico,South Africa,2026-06-11T19:00:00+00:00,3-1,home,2-0,home,1,0,1,1,68,5,73,81,46,11
Market,crowd,group,A,Korea Republic,Czechia,2026-06-12T02:00:00+00:00,1-0,home,2-1,home,1,0,1,2,61,10,71,81,45,8
Model,pele,group,A,Korea Republic,Czechia,2026-06-12T02:00:00+00:00,0-0,draw,2-1,home,0,0,0,1,65,8,73,81,43,11
Me,harry,group,A,Korea Republic,Czechia,2026-06-12T02:00:00+00:00,1-0,home,2-1,home,1,0,1,2,68,5,73,81,46,11
Market,crowd,group,B,Canada,Bosnia-Herzegovina,2026-06-12T19:00:00+00:00,1-0,home,1-1,draw,0,0,0,2,61,10,71,81,45,8
Model,pele,group,B,Canada,Bosnia-Herzegovina,2026-06-12T19:00:00+00:00,1-0,home,1-1,draw,0,0,0,1,65,8,73,81,43,11
Me,harry,group,B,Canada,Bosnia-Herzegovina,2026-06-12T19:00:00+00:00,1-1,draw,1-1,draw,1,1,3,5,68,5,73,81,46,11
Market,crowd,group,D,United States,Paraguay,2026-06-13T01:00:00+00:00,1-0,home,4-1,home,1,0,1,3,61,10,71,81,45,8
Model,pele,group,D,United States,Paraguay,2026-06-13T01:00:00+00:00,0-0,draw,4-1,home,0,0,0,1,65,8,73,81,43,11
Me,harry,group,D,United States,Paraguay,2026-06-13T01:00:00+00:00,0-0,draw,4-1,home,0,0,0,5,68,5,73,81,46,11
Market,crowd,group,B,Qatar,Switzerland,2026-06-13T19:00:00+00:00,0-2,away,1-1,draw,0,0,0,3,61,10,71,81,45,8
Model,pele,group,B,Qatar,Switzerland,2026-06-13T19:00:00+00:00,0-2,away,1-1,draw,0,0,0,1,65,8,73,81,43,11
Me,harry,group,B,Qatar,Switzerland,2026-06-13T19:00:00+00:00,0-2,away,1-1,draw,0,0,0,5,68,5,73,81,46,11
Market,crowd,group,C,Brazil,Morocco,2026-06-13T22:00:00+00:00,2-0,home,1-1,draw,0,0,0,3,61,10,71,81,45,8
Model,pele,group,C,Brazil,Morocco,2026-06-13T22:00:00+00:00,2-0,home,1-1,draw,0,0,0,1,65,8,73,81,43,11
Me,harry,group,C,Brazil,Morocco,2026-06-13T22:00:00+00:00,2-1,home,1-1,draw,0,0,0,5,68,5,73,81,46,11
Market,crowd,group,C,Haiti,Scotland,2026-06-14T01:00:00+00:00,0-2,away,0-1,away,1,0,1,4,61,10,71,81,45,8
Model,pele,group,C,Haiti,Scotland,2026-06-14T01:00:00+00:00,0-2,away,0-1,away,1,0,1,2,65,8,73,81,43,11
Me,harry,group,C,Haiti,Scotland,2026-06-14T01:00:00+00:00,0-2,away,0-1,away,1,0,1,6,68,5,73,81,46,11
Market,crowd,group,D,Australia,Türkiye,2026-06-14T04:00:00+00:00,0-1,away,2-0,home,0,0,0,4,61,10,71,81,45,8
Model,pele,group,D,Australia,Türkiye,2026-06-14T04:00:00+00:00,0-1,away,2-0,home,0,0,0,2,65,8,73,81,43,11
Me,harry,group,D,Australia,Türkiye,2026-06-14T04:00:00+00:00,1-1,draw,2-0,home,0,0,0,6,68,5,73,81,46,11
Market,crowd,group,E,Germany,Curaçao,2026-06-14T17:00:00+00:00,4-0,home,7-1,home,1,0,1,5,61,10,71,81,45,8
Model,pele,group,E,Germany,Curaçao,2026-06-14T17:00:00+00:00,3-0,home,7-1,home,1,0,1,3,65,8,73,81,43,11
Me,harry,group,E,Germany,Curaçao,2026-06-14T17:00:00+00:00,4-0,home,7-1,home,1,0,1,7,68,5,73,81,46,11
Market,crowd,group,F,Netherlands,Japan,2026-06-14T20:00:00+00:00,1-0,home,2-2,draw,0,0,0,5,61,10,71,81,45,8
Model,pele,group,F,Netherlands,Japan,2026-06-14T20:00:00+00:00,1-0,home,2-2,draw,0,0,0,3,65,8,73,81,43,11
Me,harry,group,F,Netherlands,Japan,2026-06-14T20:00:00+00:00,2-0,home,2-2,draw,0,0,0,7,68,5,73,81,46,11
Market,crowd,group,E,Ivory Coast,Ecuador,2026-06-14T23:00:00+00:00,0-1,away,1-0,home,0,0,0,5,61,10,71,81,45,8
Model,pele,group,E,Ivory Coast,Ecuador,2026-06-14T23:00:00+00:00,0-1,away,1-0,home,0,0,0,3,65,8,73,81,43,11
Me,harry,group,E,Ivory Coast,Ecuador,2026-06-14T23:00:00+00:00,1-1,draw,1-0,home,0,0,0,7,68,5,73,81,46,11
Market,crowd,group,F,Sweden,Tunisia,2026-06-15T02:00:00+00:00,1-0,home,5-1,home,1,0,1,6,61,10,71,81,45,8
Model,pele,group,F,Sweden,Tunisia,2026-06-15T02:00:00+00:00,1-0,home,5-1,home,1,0,1,4,65,8,73,81,43,11
Me,harry,group,F,Sweden,Tunisia,2026-06-15T02:00:00+00:00,1-0,home,5-1,home,1,0,1,8,68,5,73,81,46,11
Market,crowd,group,H,Spain,Cape Verde,2026-06-15T16:00:00+00:00,2-0,home,0-0,draw,0,0,0,6,61,10,71,81,45,8
Model,pele,group,H,Spain,Cape Verde,2026-06-15T16:00:00+00:00,2-0,home,0-0,draw,0,0,0,4,65,8,73,81,43,11
Me,harry,group,H,Spain,Cape Verde,2026-06-15T16:00:00+00:00,2-0,home,0-0,draw,0,0,0,8,68,5,73,81,46,11
Market,crowd,group,G,Belgium,Egypt,2026-06-15T19:00:00+00:00,1-0,home,1-1,draw,0,0,0,6,61,10,71,81,45,8
Model,pele,group,G,Belgium,Egypt,2026-06-15T19:00:00+00:00,1-0,home,1-1,draw,0,0,0,4,65,8,73,81,43,11
Me,harry,group,G,Belgium,Egypt,2026-06-15T19:00:00+00:00,2-0,home,1-1,draw,0,0,0,8,68,5,73,81,46,11
Market,crowd,group,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00+00:00,0-1,away,1-1,draw,0,0,0,6,61,10,71,81,45,8
Model,pele,group,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00+00:00,0-1,away,1-1,draw,0,0,0,4,65,8,73,81,43,11
Me,harry,group,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00+00:00,0-2,away,1-1,draw,0,0,0,8,68,5,73,81,46,11
Market,crowd,group,G,Iran,New Zealand,2026-06-16T01:00:00+00:00,1-0,home,2-2,draw,0,0,0,6,61,10,71,81,45,8
Model,pele,group,G,Iran,New Zealand,2026-06-16T01:00:00+00:00,1-0,home,2-2,draw,0,0,0,4,65,8,73,81,43,11
Me,harry,group,G,Iran,New Zealand,2026-06-16T01:00:00+00:00,1-1,draw,2-2,draw,1,0,1,9,68,5,73,81,46,11
Market,crowd,group,I,France,Senegal,2026-06-16T19:00:00+00:00,2-0,home,3-1,home,1,0,1,7,61,10,71,81,45,8
Model,pele,group,I,France,Senegal,2026-06-16T19:00:00+00:00,1-0,home,3-1,home,1,0,1,5,65,8,73,81,43,11
Me,harry,group,I,France,Senegal,2026-06-16T19:00:00+00:00,2-0,home,3-1,home,1,0,1,10,68,5,73,81,46,11
Market,crowd,group,I,Iraq,Norway,2026-06-16T22:00:00+00:00,0-2,away,1-4,away,1,0,1,8,61,10,71,81,45,8
Model,pele,group,I,Iraq,Norway,2026-06-16T22:00:00+00:00,0-1,away,1-4,away,1,0,1,6,65,8,73,81,43,11
Me,harry,group,I,Iraq,Norway,2026-06-16T22:00:00+00:00,0-2,away,1-4,away,1,0,1,11,68,5,73,81,46,11
Market,crowd,group,J,Argentina,Algeria,2026-06-17T01:00:00+00:00,2-0,home,3-0,home,1,0,1,9,61,10,71,81,45,8
Model,pele,group,J,Argentina,Algeria,2026-06-17T01:00:00+00:00,1-0,home,3-0,home,1,0,1,7,65,8,73,81,43,11
Me,harry,group,J,Argentina,Algeria,2026-06-17T01:00:00+00:00,1-0,home,3-0,home,1,0,1,12,68,5,73,81,46,11
Market,crowd,group,J,Austria,Jordan,2026-06-17T04:00:00+00:00,1-0,home,3-1,home,1,0,1,10,61,10,71,81,45,8
Model,pele,group,J,Austria,Jordan,2026-06-17T04:00:00+00:00,1-0,home,3-1,home,1,0,1,8,65,8,73,81,43,11
Me,harry,group,J,Austria,Jordan,2026-06-17T04:00:00+00:00,1-0,home,3-1,home,1,0,1,13,68,5,73,81,46,11
Market,crowd,group,K,Portugal,Congo DR,2026-06-17T17:00:00+00:00,3-0,home,1-1,draw,0,0,0,10,61,10,71,81,45,8
Model,pele,group,K,Portugal,Congo DR,2026-06-17T17:00:00+00:00,1-0,home,1-1,draw,0,0,0,8,65,8,73,81,43,11
Me,harry,group,K,Portugal,Congo DR,2026-06-17T17:00:00+00:00,2-0,home,1-1,draw,0,0,0,13,68,5,73,81,46,11
Market,crowd,group,L,England,Croatia,2026-06-17T20:00:00+00:00,1-0,home,4-2,home,1,0,1,11,61,10,71,81,45,8
Model,pele,group,L,England,Croatia,2026-06-17T20:00:00+00:00,1-0,home,4-2,home,1,0,1,9,65,8,73,81,43,11
Me,harry,group,L,England,Croatia,2026-06-17T20:00:00+00:00,1-0,home,4-2,home,1,0,1,14,68,5,73,81,46,11
Market,crowd,group,L,Ghana,Panama,2026-06-17T23:00:00+00:00,1-0,home,1-0,home,1,1,3,14,61,10,71,81,45,8
Model,pele,group,L,Ghana,Panama,2026-06-17T23:00:00+00:00,1-0,home,1-0,home,1,1,3,12,65,8,73,81,43,11
Me,harry,group,L,Ghana,Panama,2026-06-17T23:00:00+00:00,1-1,draw,1-0,home,0,0,0,14,68,5,73,81,46,11
Market,crowd,group,K,Uzbekistan,Colombia,2026-06-18T02:00:00+00:00,0-2,away,1-3,away,1,0,1,15,61,10,71,81,45,8
Model,pele,group,K,Uzbekistan,Colombia,2026-06-18T02:00:00+00:00,0-1,away,1-3,away,1,0,1,13,65,8,73,81,43,11
Me,harry,group,K,Uzbekistan,Colombia,2026-06-18T02:00:00+00:00,0-2,away,1-3,away,1,0,1,15,68,5,73,81,46,11
Market,crowd,group,A,Czechia,South Africa,2026-06-18T16:00:00+00:00,2-0,home,1-1,draw,0,0,0,15,61,10,71,81,45,8
Model,pele,group,A,Czechia,South Africa,2026-06-18T16:00:00+00:00,1-0,home,1-1,draw,0,0,0,13,65,8,73,81,43,11
Me,harry,group,A,Czechia,South Africa,2026-06-18T16:00:00+00:00,2-1,home,1-1,draw,0,0,0,15,68,5,73,81,46,11
Market,crowd,group,B,Switzerland,Bosnia-Herzegovina,2026-06-18T19:00:00+00:00,1-0,home,4-1,home,1,0,1,16,61,10,71,81,45,8
Model,pele,group,B,Switzerland,Bosnia-Herzegovina,2026-06-18T19:00:00+00:00,1-0,home,4-1,home,1,0,1,14,65,8,73,81,43,11
Me,harry,group,B,Switzerland,Bosnia-Herzegovina,2026-06-18T19:00:00+00:00,2-0,home,4-1,home,1,0,1,16,68,5,73,81,46,11
Market,crowd,group,B,Canada,Qatar,2026-06-18T22:00:00+00:00,2-0,home,6-0,home,1,0,1,17,61,10,71,81,45,8
Model,pele,group,B,Canada,Qatar,2026-06-18T22:00:00+00:00,1-0,home,6-0,home,1,0,1,15,65,8,73,81,43,11
Me,harry,group,B,Canada,Qatar,2026-06-18T22:00:00+00:00,3-0,home,6-0,home,1,0,1,17,68,5,73,81,46,11
Market,crowd,group,A,Mexico,Korea Republic,2026-06-19T01:00:00+00:00,1-0,home,1-0,home,1,1,3,20,61,10,71,81,45,8
Model,pele,group,A,Mexico,Korea Republic,2026-06-19T01:00:00+00:00,1-0,home,1-0,home,1,1,3,18,65,8,73,81,43,11
Me,harry,group,A,Mexico,Korea Republic,2026-06-19T01:00:00+00:00,1-1,draw,1-0,home,0,0,0,17,68,5,73,81,46,11
Market,crowd,group,D,United States,Australia,2026-06-19T19:00:00+00:00,1-0,home,2-0,home,1,0,1,21,61,10,71,81,45,8
Model,pele,group,D,United States,Australia,2026-06-19T19:00:00+00:00,1-0,home,2-0,home,1,0,1,19,65,8,73,81,43,11
Me,harry,group,D,United States,Australia,2026-06-19T19:00:00+00:00,1-1,draw,2-0,home,0,0,0,17,68,5,73,81,46,11
Market,crowd,group,C,Scotland,Morocco,2026-06-19T22:00:00+00:00,1-0,home,0-1,away,0,0,0,21,61,10,71,81,45,8
Model,pele,group,C,Scotland,Morocco,2026-06-19T22:00:00+00:00,0-0,draw,0-1,away,0,0,0,19,65,8,73,81,43,11
Me,harry,group,C,Scotland,Morocco,2026-06-19T22:00:00+00:00,1-1,draw,0-1,away,0,0,0,17,68,5,73,81,46,11
Market,crowd,group,C,Brazil,Haiti,2026-06-20T00:30:00+00:00,3-0,home,3-0,home,1,1,3,24,61,10,71,81,45,8
Model,pele,group,C,Brazil,Haiti,2026-06-20T00:30:00+00:00,2-0,home,3-0,home,1,0,1,20,65,8,73,81,43,11
