id,external_ref,stage,group_name,home_team,away_team,kickoff_utc,venue,result_90,home_goals,away_goals,advanced
00000000-0000-0000-0000-000000000001,760415,group,A,Mexico,South Africa,2026-06-11T19:00:00+00:00,"Estadio Banorte, Mexico City",home,2,0,home
00000000-0000-0000-0000-000000000002,760414,group,A,Korea Republic,Czechia,2026-06-12T02:00:00+00:00,"Estadio Akron, Guadalajara",home,2,1,home
c5f77bc7-cddc-4580-8b0e-d47216afe1e1,760416,group,B,Canada,Bosnia-Herzegovina,2026-06-12T19:00:00+00:00,"BMO Field, Toronto",draw,1,1,
d703434b-4860-4883-b27a-3a7b9f8820f0,760417,group,D,United States,Paraguay,2026-06-13T01:00:00+00:00,"SoFi Stadium, Inglewood, California",home,4,1,home
55d80618-d929-41da-96fa-939b0ad65a84,760420,group,B,Qatar,Switzerland,2026-06-13T19:00:00+00:00,"Levi's Stadium, Santa Clara, California",draw,1,1,
35768fe1-4b91-4aca-9055-d62e78140add,760419,group,C,Brazil,Morocco,2026-06-13T22:00:00+00:00,"MetLife Stadium, East Rutherford, New Jersey",draw,1,1,
c4b5ce47-801d-4c07-9e5f-3620e13e2bd5,760418,group,C,Haiti,Scotland,2026-06-14T01:00:00+00:00,"Gillette Stadium, Foxborough, Massachusetts",away,0,1,away
b282dcd1-81d9-4651-876c-6b26db2ef3cc,760421,group,D,Australia,Türkiye,2026-06-14T04:00:00+00:00,"BC Place, Vancouver",home,2,0,home
3861d750-7871-4704-9b73-bf78e072b864,760422,group,E,Germany,Curaçao,2026-06-14T17:00:00+00:00,"NRG Stadium, Houston, Texas",home,7,1,home
e505ece4-811e-4ee0-a1ac-619ebc2dc660,760425,group,F,Netherlands,Japan,2026-06-14T20:00:00+00:00,"AT&T Stadium, Arlington, Texas",draw,2,2,
6584aceb-257c-42ab-a5b6-8c9044bdef08,760423,group,E,Ivory Coast,Ecuador,2026-06-14T23:00:00+00:00,"Lincoln Financial Field, Philadelphia, Pennsylvania",home,1,0,home
53f34fba-a008-4aaa-9652-1cfb7d15635e,760424,group,F,Sweden,Tunisia,2026-06-15T02:00:00+00:00,"Estadio BBVA, Guadalupe",home,5,1,home
02a8b78f-99c7-4259-b660-7ae46ffb840a,760428,group,H,Spain,Cape Verde,2026-06-15T16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta, Georgia",draw,0,0,
fd54839a-5141-48cc-a588-36f5b8c0473e,760426,group,G,Belgium,Egypt,2026-06-15T19:00:00+00:00,"Lumen Field, Seattle, Washington",draw,1,1,
5db40daf-b184-48a8-b857-2971d079eba2,760429,group,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00+00:00,"Hard Rock Stadium, Miami Gardens, Florida",draw,1,1,
8cd7ea9d-57ee-4bfb-94e5-3e708cb5f2a7,760427,group,G,Iran,New Zealand,2026-06-16T01:00:00+00:00,"SoFi Stadium, Inglewood, California",draw,2,2,
81efb357-cd79-4031-8c7d-aeaf3668799a,760432,group,I,France,Senegal,2026-06-16T19:00:00+00:00,"MetLife Stadium, East Rutherford, New Jersey",home,3,1,home
ac71a0df-2120-4302-a292-6a2a5d22a8f5,760430,group,I,Iraq,Norway,2026-06-16T22:00:00+00:00,"Gillette Stadium, Foxborough, Massachusetts",away,1,4,away
caef88e4-c9b3-4f69-b367-3260d49d8ac6,760433,group,J,Argentina,Algeria,2026-06-17T01:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City, Missouri",home,3,0,home
202c56ab-5bb0-48c3-8f39-130bd213db12,760431,group,J,Austria,Jordan,2026-06-17T04:00:00+00:00,"Levi's Stadium, Santa Clara, California",home,3,1,home
f956c314-205d-498f-885f-afb78fa74c28,760435,group,K,Portugal,Congo DR,2026-06-17T17:00:00+00:00,"NRG Stadium, Houston, Texas",draw,1,1,
d5e636b7-a3be-4aef-bb65-c7c78204c52e,760437,group,L,England,Croatia,2026-06-17T20:00:00+00:00,"AT&T Stadium, Arlington, Texas",home,4,2,home
d527495b-4d34-4676-bb4c-9f5588a7a8cf,760434,group,L,Ghana,Panama,2026-06-17T23:00:00+00:00,"BMO Field, Toronto",home,1,0,home
4509138f-5fd8-479b-b160-8c5268def302,760436,group,K,Uzbekistan,Colombia,2026-06-18T02:00:00+00:00,"Estadio Banorte, Mexico City",away,1,3,away
3b4eeea7-0980-4d27-8c84-b81ed5d4980e,760438,group,A,Czechia,South Africa,2026-06-18T16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta, Georgia",draw,1,1,
